,tremor,dvv
2010-01-31,127.0,-0.0007231718504763033
2010-02-28,2218.0,-0.0034710550969548476
2010-03-31,1576.0,-0.0025282849274826514
2010-04-30,19.0,0.002118541563038854
2010-05-31,298.0,-0.00019824801885505246
2010-06-30,157.0,0.001740921502071522
2010-07-31,301.0,-4.1655816037823584e-05
2010-08-31,7772.0,-0.004039734220481022
2010-09-30,2672.0,0.0009564802768122811
2010-10-31,58.0,-0.002411888586320856
2010-11-30,36.0,0.0014838564435140885
2010-12-31,328.0,-0.0008914402660741979
2011-01-31,664.0,0.00022404642903368078
2011-02-28,97.0,-0.004100185802709101
2011-03-31,314.0,-0.0019310966349550035
2011-04-30,409.0,0.00036162236999399814
2011-05-31,1987.0,-7.648411418896711e-05
2011-06-30,1414.0,-0.004646175594029909
2011-07-31,248.0,-0.004247382799285696
2011-08-31,7384.0,-0.00753048417675195
2011-09-30,1020.0,2.7287698930293258e-05
2011-10-31,37.0,0.003317428505981323
2011-11-30,108.0,-0.00025046335363154877
2011-12-31,353.0,0.002266126887422611
2012-01-31,143.0,0.0007932897987270883
2012-02-29,588.0,-0.002816283353713559
2012-03-31,455.0,-0.0070778346308166635
2012-04-30,1161.0,-0.003813951781308554
2012-05-31,828.0,-0.004612408496599795
2012-06-30,122.0,-0.0011098416685992793
2012-07-31,1858.0,0.00013944650965311444
2012-08-31,1291.0,-0.0028595123916501683
2012-09-30,10117.0,-0.003931102844310181
2012-10-31,1028.0,-0.0025382382507855698
2012-11-30,209.0,-0.0014529827346376602
2012-12-31,67.0,-0.00035847253958702364
2013-01-31,304.0,-0.0002874123545404414
2013-02-28,129.0,0.002437122117277432
2013-03-31,1033.0,0.0013689257997069452
2013-04-30,639.0,-0.0014566852324729015
2013-05-31,600.0,-0.0017774599737390997
2013-06-30,466.0,0.0008898894204828583
2013-07-31,352.0,0.001129649691308065
2013-08-31,1049.0,-0.004192079508207338
2013-09-30,6011.0,0.001016917357962891
2013-10-31,2090.0,5.1385400520805314e-05
2013-11-30,113.0,-0.0021882520532252544
2013-12-31,216.0,0.0033246731591771244
2014-01-31,803.0,-0.000851789344588439
2014-02-28,662.0,0.00289492305591219
2014-03-31,407.0,0.006798941349868361
2014-04-30,268.0,-0.003482583472918141
2014-05-31,405.0,-0.0016704159638408777
2014-06-30,1377.0,-0.00472906106251389
2014-07-31,1547.0,0.005882659343346977
2014-08-31,889.0,0.00496815788544637
2014-09-30,2240.0,0.00651937397505727
2014-10-31,117.0,-0.004925668520015484
2014-11-30,5638.0,-0.0012858303113466344
2014-12-31,2114.0,-0.00044321359572984146
2015-01-31,159.0,0.0038423717140883802
2015-02-28,4.0,-0.0004356757158420987
2015-03-31,202.0,-0.003716128186072776
2015-04-30,686.0,0.002326146039005228
2015-05-31,332.0,-0.0013869091667555002
2015-06-30,153.0,-0.005676164856005509
2015-07-31,940.0,0.002237278721031545
2015-08-31,1646.0,-0.003459386318801149
2015-09-30,499.0,-0.004810311522435353
2015-10-31,250.0,-0.0017807029523712742
2015-11-30,236.0,0.0023791378226106345
2015-12-31,3571.0,-0.0015577314227719762
2016-01-31,3816.0,-0.010004852074334285
2016-02-29,128.0,-0.0011098216462371445
2016-03-31,53.0,-0.00048622046121133745
2016-04-30,1010.0,-0.0022221933833848823
2016-05-31,222.0,0.00011679666211292681
2016-06-30,134.0,-0.0017965795625199219
2016-07-31,330.0,0.006965546225764922
2016-08-31,1290.0,-0.0037991016307695265
2016-09-30,795.0,0.0006032274644255705
2016-10-31,19.0,-0.0005584047707424175
2016-11-30,211.0,-0.002007433317247234
2016-12-31,769.0,-0.003824051287480926
2017-01-31,680.0,-0.003857219340157031
2017-02-28,2829.0,0.002966061007003753
2017-03-31,4872.0,0.007303885873567429
2017-04-30,2568.0,-0.00036768409253993157
2017-05-31,27.0,-0.0032920390831738607
2017-06-30,335.0,-0.0075970334899216315
2017-07-31,61.0,-0.0056382362976548335
2017-08-31,285.0,-0.004498792755971865
2017-09-30,373.0,-0.0020973374876456638
2017-10-31,1439.0,0.00030830490262329026
2017-11-30,415.0,0.003119212833957765
2017-12-31,243.0,-0.012642188499756084
2018-01-31,1312.0,-0.001105455423287826
2018-02-28,286.0,-0.0076608458244172475
2018-03-31,325.0,-0.006027202636129344
2018-04-30,114.0,-0.001657262615226389
2018-05-31,3040.0,-0.0009855330310989615
2018-06-30,4271.0,-0.003889448812253373
2018-07-31,4656.0,0.0021332392113768074
2018-08-31,364.0,0.002815249134177848
2018-09-30,78.0,0.0018508175378642766
2018-10-31,304.0,-0.0006264659037523392
2018-11-30,212.0,0.0050071720043845525
2018-12-31,240.0,-0.006134423461278113
2019-01-31,482.0,-0.003501618306943246
2019-02-28,57.0,0.00845894944820122
2019-03-31,2000.0,0.0027370950542467717
2019-04-30,2083.0,0.0035720102890539956
2019-05-31,1107.0,-0.0026420343854109186
2019-06-30,1060.0,0.002406934030084347
2019-07-31,495.0,0.002630227632081391
2019-08-31,2690.0,-0.0038873369109996983
2019-09-30,43.0,0.002516371717101166
2019-10-31,266.0,0.0028425079621981894
2019-11-30,5027.0,0.002762463247102187
2019-12-31,160.0,0.0026745119957049565
2020-01-31,293.0,-0.00684005401863221
2020-02-29,509.0,-0.003932818756710697
2020-03-31,439.0,-0.0007468953204030809
2020-04-30,372.0,-0.002753638670917033
2020-05-31,1534.0,0.0005109619378118672
2020-06-30,97.0,0.0006886580061198914
2020-07-31,282.0,0.00176512675807317
2020-08-31,620.0,-0.000992728738757878
2020-09-30,1217.0,0.0004884913216061412
2020-10-31,3455.0,-0.003135413432390254
2020-11-30,3265.0,0.002823906498716792
2020-12-31,60.0,0.0038399070704735285
2021-01-31,1717.0,0.006871637360583816
2021-02-28,4039.0,0.0013448074314515784
2021-03-31,324.0,0.0011155188642420553
2021-04-30,443.0,-0.001989127058413516
2021-05-31,373.0,-0.0005062875332146267
2021-06-30,826.0,-0.0010255253471417242
2021-07-31,313.0,0.0017965463126428047
2021-08-31,347.0,0.0037307237955336863
2021-09-30,993.0,-0.0034434048568384524
2021-10-31,6113.0,0.004917427640194514
2021-11-30,12.0,-0.0058808969901442175
2021-12-31,17.0,0.0016408916391535315
2022-01-31,107.0,0.003130682771056821
2022-02-28,345.0,0.010587921332403997
2022-03-31,4416.0,0.0052611969692916375
2022-04-30,1873.0,0.0017969284851846192
2022-05-31,1173.0,0.0011197563924072967
2022-06-30,704.0,-0.0004921132199806821
2022-07-31,477.0,0.0038008557070660413
2022-08-31,1703.0,0.002859958951232099
2022-09-30,169.0,-0.00025703840525857254
2022-10-31,1414.0,0.005466328428349793
2022-11-30,66.0,0.007840986181261321
2022-12-31,884.0,0.00019636005718171804
2023-01-31,1442.0,0.0036202303902850763
2023-02-28,1058.0,0.0063169314759476975
2023-03-31,133.0,0.013339341790213165
2023-04-30,9110.0,-0.0002086421553878783
2023-05-31,58.0,-0.0009256789994476928
2023-06-30,338.0,0.0032165015850427483
2023-07-31,1078.0,0.0012937681249660688
2023-08-31,415.0,0.00869691599142341
2023-09-30,800.0,0.00029744757612077327
2023-10-31,411.0,0.002817487055124092
2023-11-30,499.0,0.006541274697245047
2023-12-31,137.0,0.002372888958844817
2024-01-31,1870.0,0.003379729334898511
2024-02-29,2675.0,0.00403345821684232
2024-03-31,162.0,0.0021009117565984102
2024-04-30,271.0,0.005254049137520113
2024-05-31,379.0,0.004845982288297888
2024-06-30,1149.0,0.009246412555257813
2024-07-31,712.0,0.007540636855265052
2024-08-31,10830.0,0.0001530998167979614
2024-09-30,1002.0,0.005261505843549578
2024-10-31,344.0,0.0002360998757035103
2024-11-30,533.0,0.002488531446889904
2024-12-31,56.0,0.013113472844049357
2025-01-31,401.0,-0.002378825072859919
2025-02-28,941.0,0.009342111044799258
2025-03-31,1694.0,0.007178555866980793
2025-04-30,194.0,0.01079196634125113
2025-05-31,2266.0,0.012878948560504694
2025-06-30,192.0,0.007999208268012157
2025-07-31,322.0,0.014116317651240644
2025-08-31,2704.0,0.0004230320010453004
2025-09-30,4770.0,0.0003530466097163581
2025-10-31,8003.0,0.006069295202113471
2025-11-30,21.0,0.01431102101497603
